ra,dec,u,g,r,i,z
230.908071364953,27.2355926228439,24.4859,22.43279,21.24132,20.75063,20.49671
231.02854994642,27.3780770780421,25.39194,22.4576,21.94456,21.37871,22.22318
230.919815626636,28.0764662179024,21.4762,19.82902,19.11112,18.8484,18.59957
230.863852176868,27.8748548949773,21.58555,18.88145,17.61362,17.08957,16.78726
230.832079615926,28.0187314043154,25.12734,24.6322,23.14098,21.75266,21.63461
231.034958108231,27.5511873012013,18.77229,17.84732,17.49613,17.34404,17.28841
230.453593440162,27.7602257813648,24.06989,24.3204,21.73639,20.59859,20.0885
230.760927601828,28.0030101972789,25.80555,23.45976,22.01748,20.92875,20.22219
230.108097583783,27.2194644122255,24.18746,24.91248,24.89951,22.81509,22.66291
231.092845743351,27.9938016188963,20.92723,18.32424,16.94744,16.32817,15.96556
230.204608722325,27.7345320312487,22.94061,23.10714,22.58034,22.38445,22.43365
230.406830871662,27.6023643226199,23.52466,22.42631,22.05481,21.71474,21.46566
230.325520662408,27.8825370240894,22.65784,21.13553,20.67319,20.41764,20.18975
230.528672005143,28.1960407159649,24.51458,24.06454,23.25952,23.69925,22.80727
230.125813781999,27.4932650261347,25.34951,23.82801,21.68704,20.78906,20.19445
230.232547845938,27.8905853432092,22.8454,23.56701,23.13163,21.6019,21.61841
230.189560324312,27.7096114669651,24.30865,22.64567,23.79021,23.45083,22.71926
230.492811586324,27.265553794039,20.96499,18.94066,18.03674,17.7381,17.52605
230.336483343432,27.8257043680375,25.08304,20.95421,19.44081,18.93703,18.60056
230.598137345424,28.1297674315645,24.96832,23.02603,22.2132,21.90485,21.51838
230.212183263276,27.2306047249798,25.23933,24.00245,22.76602,22.78589,21.85409
230.210505485696,27.7424372157059,23.65691,22.11652,21.63085,21.4117,20.78764
230.969242372589,27.8452593593058,23.48502,23.31862,23.54572,22.92015,21.30762
230.287973377631,27.5486708194294,23.27902,23.03757,21.99416,21.68572,21.55704
230.289691461267,28.0235417804763,23.50781,22.65492,21.38205,20.39247,20.13205
230.170008233863,27.307667349006,25.64316,23.70577,22.61431,22.64808,22.25561
230.330775296159,27.4225835234709,22.22866,21.71605,21.05116,21.07674,21.40413
231.051113879722,27.8649368026046,23.98819,22.67371,21.53216,21.20485,20.9775
230.746042094828,27.214384719511,24.51317,23.61187,22.79983,21.95999,22.49621
230.112849863423,27.6208279044393,24.51353,24.93603,24.76975,22.23336,22.59792
230.5880815545,27.4550975973769,22.93055,21.82484,21.48826,21.7935,21.18956
230.741638995787,27.5341633306232,24.72257,24.35687,23.36768,21.88206,21.58709
230.493557148921,28.071304048481,22.47302,26.01427,25.04328,24.03755,23.25484
230.739275397957,27.5464261654839,18.82123,16.63988,15.78639,15.49711,15.36453
230.197391091752,27.7151779410601,24.4737,24.11533,22.78526,21.97034,21.13188
230.525986792906,28.1798512712207,22.72017,22.89115,22.53721,21.86431,21.5731
230.447798918925,28.183792207675,21.79087,20.77722,20.28517,20.00372,20.07245
230.583368748205,27.7035511380913,26.49848,26.65731,26.38097,21.64064,22.91516
231.070333660037,27.7778736839469,23.54325,20.41269,18.90303,18.19494,17.7555
230.888844430635,28.0288710840884,21.02406,20.52763,20.55533,20.55283,20.25678
230.997060003726,27.8830372905361,24.06092,22.1314,20.45173,19.52426,19.17256
230.520339656163,27.7531071561142,20.00363,18.14425,17.24887,16.82442,16.49476
230.565910858735,27.4434460648019,22.75078,22.56835,20.74503,19.58577,19.10075
230.571954161394,27.896751144957,19.69109,17.91811,17.0435,16.62467,16.28985
230.587380008872,27.6893168332512,20.33525,18.49166,17.61362,17.19488,16.93066
230.638275001898,27.2728058316348,19.53228,18.03439,17.1728,16.76581,16.4511
230.177510839355,27.3934758116884,20.6497,18.48133,17.46605,17.04933,16.68801
230.689373667267,28.1280164733709,24.32983,22.29804,20.44962,19.59038,19.1398
230.700288065003,27.3824108219091,22.81133,21.57059,19.9008,19.0968,18.7969
230.413980219379,27.9059849732043,24.82244,24.81257,23.73058,22.73316,22.60529
230.339227595801,27.3595378575792,22.45315,21.50511,21.15289,21.05394,20.82414
230.896977527895,27.7310040043492,23.95936,24.04639,22.84187,22.87119,21.44673
230.225842779153,27.3562531507475,23.23997,23.21758,22.0789,22.52706,21.70337
230.764496669826,27.2281129333706,25.45758,24.29716,21.87458,21.13273,20.64125
230.13839458366,27.3871335302583,24.06226,24.46738,25.16315,22.26602,23.38277
230.445301985568,27.6403942743702,24.59217,22.26729,21.42113,21.07946,21.01783
230.504215514263,28.1668050912103,22.44038,22.33242,21.8407,21.53442,21.33051
230.529195526376,27.267526831865,21.91069,21.49339,20.78497,20.35153,19.9899
230.409764193169,28.1056280392778,23.33639,22.80591,22.25594,21.72825,21.97138
230.513310279266,27.2893814635346,22.79664,22.13636,20.98676,20.6445,20.04802
230.341174118507,27.795954576089,23.30698,21.27657,20.8103,20.76258,20.82998
231.05989429727,27.4480257781757,24.35722,25.28823,23.78853,22.55602,21.76244
230.677651537594,27.5688140554106,25.10877,24.45709,23.20657,22.16228,21.24187
230.591552950196,27.3280003185888,26.56214,24.00099,22.54162,22.69901,22.77207
230.390728735104,27.7247385071187,26.04261,23.0057,21.36588,20.07011,19.28647
230.286566548992,27.3158549761791,23.6746,23.18026,22.28285,21.87802,21.56001
230.544507287648,27.411824168109,18.69373,17.6054,17.20858,17.08913,16.99527
230.577349754614,28.0086878597006,21.84978,20.49118,19.7854,19.39191,19.12461
230.798638212018,28.1256904785895,24.46076,22.92898,22.21377,21.4685,20.99793
230.614416899069,27.5467762072271,23.44814,23.44166,22.59005,22.04462,22.28258
230.700271216799,27.6986764721924,25.00164,20.96918,20.57556,20.37932,20.50074
230.330817317325,28.1424918716691,23.96424,23.38599,23.24491,22.84199,22.38608
230.322334345461,27.4521890684359,23.00617,23.12447,22.18512,21.22881,20.87174
230.166951444001,27.390779199487,22.93719,24.81387,23.11627,22.18501,22.23204
230.985119700726,27.9923962580377,20.1599,19.07232,18.77064,18.57145,18.20246
230.496307514442,27.3484170021696,24.0504,22.63627,21.55803,21.05237,21.05713
231.047093540351,27.3582673408425,23.6102,23.02992,22.13707,21.68683,21.13752
230.684575881988,27.5641710249599,25.86711,22.34053,20.89742,20.16761,20.04277
230.474847699729,27.4562258307741,22.11256,23.53335,22.44651,21.9977,22.44837
230.598265659355,27.6859871768726,21.92405,20.24359,19.40722,19.01137,18.86188
230.469436289551,27.6445711951115,22.31208,21.31426,20.67463,20.32173,20.08692
230.986899952584,27.626369683391,24.79902,23.19774,21.49515,20.76948,20.51999
231.087861882514,27.8654611979704,23.51136,22.21687,21.23592,20.8437,20.54169
230.488887996055,27.3226021455135,23.19039,21.94452,21.70771,21.63235,21.01462
230.272264567236,28.0367051512492,23.15069,24.48858,22.57329,23.22805,22.98226
230.854880655243,27.3012898869354,25.11252,24.18256,22.68695,22.10012,21.75247
230.958803108511,27.9112075873957,22.8444,21.37329,20.84147,20.51928,20.28041
230.296597004456,27.6097229450737,22.63849,22.30495,21.16996,20.82796,20.6362
230.289796580783,27.2788682553402,22.29091,21.20885,20.85281,20.6383,20.56555
230.72509744789,28.1741740711303,23.97564,25.08149,25.47,24.69309,20.758
230.504865180287,27.6420323138067,24.31149,23.10155,21.65837,21.06228,20.68341
230.37880152096,27.7938104792361,24.37903,22.6697,22.01929,21.30533,21.87395
230.327922437671,27.2867610937741,22.43165,21.88563,21.02286,21.03215,20.23166
230.571230942826,28.0526466070359,24.08798,23.17378,21.92056,20.73051,20.12738
230.401759324219,27.3597454394487,24.2165,24.65023,24.21677,22.49973,21.99439
230.12410178317,27.2874919163639,24.75785,23.15605,22.1654,21.07395,20.67868
230.978068472914,27.6877873682588,24.64565,23.7383,22.70724,21.70056,20.9264
230.546965538019,27.7239867753439,23.23893,23.04659,21.64222,21.31005,19.91448
230.658767382548,28.1133724468402,23.6695,23.93436,22.65978,21.20376,20.28885
230.475579388473,27.3727685668384,22.46709,21.87184,21.10936,21.02131,20.64484
230.887345207511,27.5758346321126,24.39747,24.77561,17.22388,23.58976,22.4232
230.988911713162,27.5641636253279,25.16137,23.58571,22.66459,21.71318,20.73073
230.226652035817,27.3315286013479,22.16916,19.64303,18.29271,17.70592,17.36155
230.581647709616,27.8668743920555,23.94264,22.09052,21.43782,21.33931,21.62653
231.099553330759,28.0554869980154,23.31016,23.4851,21.95848,21.27335,20.8924
230.461957097296,27.4239155532888,25.31273,24.6309,23.13692,22.17863,21.8004
230.185736023328,27.6267781558674,23.49409,23.67188,22.95892,22.02803,21.75804
230.561294687767,27.2009875405545,19.98446,19.48531,19.53698,19.62905,19.87289
230.917230592278,27.7197550557637,22.34766,21.84498,20.72137,20.42186,20.12837
